"client","timestamp","time","method","endpoint","protocol","status_code","response_size","custom_message"
"localhost","22/Dec/2024:22:19:43 +0000","24:22:19","POST","/","HTTP/1.1","Create-Printer-Subscriptions","354","successful-ok"
"localhost","22/Dec/2024:22:19:43 +0000","24:22:19","POST","/","HTTP/1.1","Create-Printer-Subscriptions","173","successful-ok"
"localhost","22/Dec/2024:22:19:46 +0000","24:22:19","POST","/","HTTP/1.1","Create-Printer-Subscriptions","359","successful-ok"
"localhost","22/Dec/2024:22:20:59 +0000","24:22:20","POST","/","HTTP/1.1","Create-Printer-Subscriptions","361","successful-ok"
"localhost","22/Dec/2024:22:20:59 +0000","24:22:20","POST","/","HTTP/1.1","Cancel-Subscription","151","successful-ok"
"localhost","22/Dec/2024:22:20:59 +0000","24:22:20","POST","/","HTTP/1.1","Cancel-Subscription","151","client-error-not-found"
"localhost","22/Dec/2024:22:23:17 +0000","24:22:23","POST","/","HTTP/1.1","Cancel-Subscription","153","successful-ok"
"localhost","22/Dec/2024:22:23:17 +0000","24:22:23","POST","/","HTTP/1.1","Cancel-Subscription","153","client-error-not-found"
"localhost","22/Dec/2024:22:23:18 +0000","24:22:23","POST","/","HTTP/1.1","Cancel-Subscription","120","successful-ok"
"localhost","22/Dec/2024:22:23:18 +0000","24:22:23","POST","/","HTTP/1.1","Cancel-Subscription","120","successful-ok"
"localhost","22/Dec/2024:22:23:18 +0000","24:22:23","POST","/","HTTP/1.1","Cancel-Subscription","157","successful-ok"
"localhost","23/Dec/2024:03:54:11 +0530","24:03:54","POST","/","HTTP/1.1","Create-Printer-Subscriptions","357","successful-ok"
"localhost","23/Dec/2024:03:54:11 +0530","24:03:54","POST","/","HTTP/1.1","Create-Printer-Subscriptions","176","successful-ok"
"localhost","23/Dec/2024:03:54:13 +0530","24:03:54","POST","/","HTTP/1.1","Create-Printer-Subscriptions","359","successful-ok"
"localhost","23/Dec/2024:03:54:19 +0530","24:03:54","POST","/","HTTP/1.1","Create-Printer-Subscriptions","361","successful-ok"
"localhost","23/Dec/2024:03:54:21 +0530","24:03:54","POST","/","HTTP/1.1","Cancel-Subscription","151","successful-ok"
"localhost","23/Dec/2024:03:54:21 +0530","24:03:54","POST","/","HTTP/1.1","Cancel-Subscription","151","client-error-not-found"
"localhost","23/Dec/2024:04:52:39 +0530","24:04:52","POST","/","HTTP/1.1","Renew-Subscription","184","successful-ok"
"localhost","23/Dec/2024:04:56:03 +0530","24:04:56","POST","/","HTTP/1.1","Cancel-Subscription","153","successful-ok"
