log_level,timestamp,time,process,message
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/French/TAPC3566i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/French/TAPC3562i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/French/TAP-4531\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/French/TAPC3066i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/French/TAP-6036i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/French/TAP-4531i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/French/TAP-4536i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/French/TAP-4536\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/French/TAPC3062i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/French/TAP-5536i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Portuguese/TAPC3566i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Portuguese/TAPC3562i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Portuguese/TAP-4531\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Portuguese/TAPC3066i\""!"""
E,23/Dec/2024:23:48:16 +0530,[0]:23:47,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Portuguese/TAP-6036i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Portuguese/TAP-4531i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Portuguese/TAP-4536i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Portuguese/TAP-4536\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Portuguese/TAPC3062i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Portuguese/TAP-5536i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/German/TAPC3566i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/German/TAPC3562i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/German/TAP-4531\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/German/TAPC3066i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/German/TAP-6036i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/German/TAP-4531i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/German/TAP-4536i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/German/TAP-4536\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/German/TAPC3062i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/German/TAP-5536i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Spanish/TAPC3566i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Spanish/TAPC3562i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Spanish/TAP-4531\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Spanish/TAPC3066i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Spanish/TAP-6036i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Spanish/TAP-4531i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Spanish/TAP-4536i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Spanish/TAP-4536\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Spanish/TAPC3062i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Spanish/TAP-5536i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/English/TAPC3566i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/English/TAPC3562i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/English/TAP-4531\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/English/TAPC3066i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/English/TAP-6036i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/English/TAP-4531i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/English/TAP-4536i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/English/TAP-4536\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/English/TAPC3062i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/English/TAP-5536i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Italian/TAPC3566i\""!"""
E,23/Dec/2024:23:48:16 +0530,24:23:48,cups-driverd,"\/usr/share/ppd/openprinting/Utax/EU/Italian/TAPC3562i\""!"""
